Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: filename,Param: thumbSize
thumbnail.ThumbnailBenchmark.subsampling4,avgt,1,3,2,0,s/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate,avgt,1,3,35,3,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate.norm,avgt,1,3,"76,920,765","5,268,548",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.count,avgt,1,3,0,NaN,counts,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4,avgt,1,3,1,1,s/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate,avgt,1,3,17,39,MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate.norm,avgt,1,3,"24,254,273","3,991,194",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.count,avgt,1,3,0,NaN,counts,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4,avgt,1,3,2,0,s/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate,avgt,1,3,25,2,MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate.norm,avgt,1,3,"57,265,232","2,642,839",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.count,avgt,1,3,0,NaN,counts,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4,avgt,1,3,10,4,s/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate,avgt,1,3,14,6,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate.norm,avgt,1,3,"153,063,904","5,609,972",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.count,avgt,1,3,0,NaN,counts,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling4,avgt,1,3,10,3,s/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate,avgt,1,3,10,3,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate.norm,avgt,1,3,"106,953,269","6,026,041",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.count,avgt,1,3,0,NaN,counts,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8,avgt,1,3,0,0,s/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate,avgt,1,3,22,4,MB/sec,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate.norm,avgt,1,3,"139,263","13,904",B/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.count,avgt,1,3,0,NaN,counts,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8,avgt,1,3,0,0,s/op,crowd-3mb.jpg,200
